tweet_id,created_at,user_location,tweet_text,label,pct_certainty
1348780962394603522,Mon Jan 11 23:56:55 +0000 2021,honeymoon Avenue,Fora brigas de trânsito que sim amados causam muitas mortes já Imagina uma arma na mão de alguém que não tem estrutura psicológica nem pra lidar com ele mesmo ????? Ele tinha que tá pensando que no Brasil já tem mais de 200mil mortes pelo covid e liberar a vacina,-1,25
1346534190335074310,Tue Jan 05 19:09:03 +0000 2021,"São Paulo, Brasil","@HugoMachadoFil3 @quadrelli_marco A parceria com os chineses da Sinovac prevê troca de conhecimento, de tecnologia, mas a produção local será totalmente brasileira. Será do Brasil, de São Paulo, do Butantan, utilizando a matéria-prima chinesa. (+)",-1,75
1348777478882521097,Mon Jan 11 23:43:04 +0000 2021,,"@jrmestrado @MarceloAdnet Estamos numa PANDEMIA *****, e você não decide o que é ou não um prejuízo incalculável para nós, NÓS DECIDIMOS. E o prejuízo é contrairmos a covid-19, infectar nossos familiares etc. Fora que nós não tivemos auxílio psicólogo durante essa pandemia pra que pudéssemos estudar+",0,50
1349140630753210373,Tue Jan 12 23:46:06 +0000 2021,Brasil,"@danielgirardi83 @Fenovais28 @mab_sp125 @samydana @GabrielNemer_ @MBittencourtMD @mellziland @josegallucci é pq deixa minion nervoso, mas juro que se o incompetente do presidente me oferecesse vacina pode ser a de oxford mesmo eu aceitava. è que esse animal na presidência não tem nada",0,75
1348749014964056065,Mon Jan 11 21:49:58 +0000 2021,Barcelona,@edisonrd1977 Es peligrosa la vacuna de Pfizer?,0,100
1349496693830676482,Wed Jan 13 23:20:58 +0000 2021,Coimbra,@mfmorgado é o neoimperialismo a impedir os países pobres de acederem às vacinas da Pfizer,0,25
1346602213142102017,Tue Jan 05 23:39:20 +0000 2021,,@DaniloGentili O Jornalismo está morto há muito tempo! A HIPOCRISIA da @RedeGlobo está mais viva do que nunca! #COVID19,1,50
1349129476425314306,Tue Jan 12 23:01:47 +0000 2021,São Paulo,"@MBittencourtMD @samydana @GabrielNemer_ @mab_sp125 @mellziland @josegallucci Então me perdi aqui:  ""No grupo placebo 3,6% pegaram COVID19 (167/4599). No grupo vacina 1,8% pegaram COVID19 (85/4653).  VOCÊ TEM 50,38% MENOS CHANCES DE PEGAR COVID19.""  Onde errei?",-1,25
1349506471361458176,Wed Jan 13 23:59:50 +0000 2021,Belém PA / Sao Paulo Brasil,@michelcandidos2 @eusouale_ Sério? Mais um machão de @ que não sabe perder um debate? Melhor a vacina com 50 de eficácia que 1 Bundão que não presta pda porra nenhuma.  Mas vai lá e lambe o saco do seu Bundão,-1,25
1347649221176995845,Fri Jan 08 20:59:47 +0000 2021,,"@silviogrimaldo poderia comprar e ainda negociar com outros Estados e Municípios sem qlqr aval da União, ele não precisaria disso. A vacina q parece ser + segura e eficaz é realmente a da Astrazeneca q já fez o pedido d uso emergencial (hoje) e custa entre 17,00 e 20,00. A do Butantã custa mais",-1,25
