tweet_id,created_at,user_location,tweet_text,label,pct_certainty,doubt
1346925070023725062,Wed Jan 06 21:02:16 +0000 2021,,"@HelioTelho Mas a vaCHINA de Oxford não vem e o CAPETÃO CLOROQUINA, demonstrou a total incompetência do seu desgoverno! Incompetência essa, que causa inveja até no governo Dilma!",1,75,0
1348376237895512065,Sun Jan 10 21:08:41 +0000 2021,"Sao Paulo, Brazil","@ananiasfernanda MINHA LINDA ""WOLF DOCTOR""!😍TENS RAZÃO SOBRE AINDA NÃO EXISTIR ""CURA TOTAL""SOBRE DOENÇAS EPIDÊMICAS CAUSADAS POR PICADA DE MOSQUITOS!MAS,DEVEIS SABER QUE UMA VACINA COM 50% DE EFICÁCIA PODE SER APLICADA! COROVAVAC,78 E OXFORD 62!😉😘😘 https://t.co/iPjOSOgsFG",-1,100,0
1349139362529869826,Tue Jan 12 23:41:04 +0000 2021,"Brasília, Brasil",@oatila Eu vi a matéria e a Folha é  JÁ  sabia que iam te chamar  disso. A covid-19 é  também  política no termo da sua polis.,0,50,0
1348449656309764099,Mon Jan 11 02:00:25 +0000 2021,,"@imontfl @jdoriajr Imont, sem problema! Vc toma a vacina do doria, mas eu a de Oxford, ou Moderna ou Pfizer.",1,75,0
1348760404407803905,Mon Jan 11 22:35:13 +0000 2021,,"@SigaGazetaBR Olha, acho que a Covid faz isso! Janaína também veio muito engraçadinha no pós Covid19. Depois deu a uma melhorada.",0,75,0
1349144093218254848,Tue Jan 12 23:59:52 +0000 2021,,"@Elitpro @kimpaim Amigo, já disse: se isso for verdade, mostra o quanto o governo Bolsonaro é um lixo, pois comprou toda a produção de uma vacina inútil.   Se é ruim, por que esse governo tão iluminado comprou? Kkkk",1,50,1
1346915355466326018,Wed Jan 06 20:23:39 +0000 2021,"Rio de Janeiro, Brasil","@nilobento @lulimazinho16 @M_lolx4 @CNNBrasil Eu li uma notícia que o Butantã irá pedir o uso emergencial e o registro definitivo da CoronaVac ao mesmo tempo. Eu acho que seria o correto o presidente comprar essa vacina, mas, foi como o cara falou ali em cima, sobre as briguinhas do presidente entre o governador de SP.",-1,100,0
1349499995888754696,Wed Jan 13 23:34:06 +0000 2021,Contagem - MG,"@pcalabroBR @STF_oficial Transparência somente para a caderneta de vacinação do Bolsonaro, já coronavac, não precisa.",0,75,0
1346595833131667456,Tue Jan 05 23:13:59 +0000 2021,Brasil,@Sil_Mergulhao @emirsader O período mais atuante dele foi quando esteve internado com covid19.,0,50,0
1346559312286552064,Tue Jan 05 20:48:52 +0000 2021,"Irapuato, Gto",@jfcastaneda9 Si es AstraZeneca o Pfizer si💉,0,100,0
1348770265648558081,Mon Jan 11 23:14:24 +0000 2021,,@fvguima Acho que Sinovac está mais preocupada em resolver algum problema estrutural no desenvolvimento da vacina do que seguir protocolo.  Não faz sentido algumas coisas...,0,75,0
1349505261975859200,Wed Jan 13 23:55:01 +0000 2021,"Maricá, Brasil",@DatiiD a faculdade aceita 40% do curso via EAD 🤡🤡🤡🤡🤡🤡 e só volta dps da vacina,-1,75,0
1348700265009049605,Mon Jan 11 18:36:15 +0000 2021,Maringá-PR,"@sputnik_brasil Só no Brasil e na Estônia que não existe taxação a grandes fortunas, nos EUA é 29% a menor taxa, Europa é uma média de 25%... Ridículo isso.",0,50,1
1348056584023384065,Sat Jan 09 23:58:29 +0000 2021,🏡 ➪,"@GatorsDaily vazou as pessoas q tomaram a vacina, de acordo com o bolsonaro.",0,50,0
1349373907611037698,Wed Jan 13 15:13:04 +0000 2021,"Ribeirão Preto, Brasil",@JanainaDoBrasil 3 vezes o valor da vacina da Pfizer ou da Moderna? Poderia compartilhar a sua fonte sobre os custos de cada tipo de vacina?,0,75,0
1348056398249271309,Sat Jan 09 23:57:45 +0000 2021,,"@folha @FolhaPainel Kkkkkk o desespero de quem estar perdendo o poder , vendo escorrer pelas mãos , é @RodrigoMaia é assim que acontece quando se é um merda e covarde como você , quanto a Pazuello e @jairbolsonaro os mesmos só querem segurança para o povo e não qualquer vacina , tipo a do @jdoriajr!",1,25,1
1347752085366972417,Sat Jan 09 03:48:31 +0000 2021,,@luizacaires3 @leandrotessler Os dados da AstraZeneca foram divulgados antes da análise da Anvisa?,0,75,0
1348406014933131270,Sun Jan 10 23:07:00 +0000 2021,,@Ju_Card0s0 vo te passar corona pela falta de consideração,0,75,0
