tweet_id,created_at,user_location,tweet_text,label_A,label_B,pct_certainty_A,pct_certainty_B,tweet_text_preproc,tweet_text_stemming,tweet_text_lemmatization
1346534190335074310,Tue Jan 05 19:09:03 +0000 2021,"São Paulo, Brasil","@HugoMachadoFil3 @quadrelli_marco A parceria com os chineses da Sinovac prevê troca de conhecimento, de tecnologia, mas a produção local será totalmente brasileira. Será do Brasil, de São Paulo, do Butantan, utilizando a matéria-prima chinesa. (+)",-1,-1.0,75,100.0,"['parceria', 'chineses', 'vacina', 'preve', 'troca', 'conhecimento', 'tecnologia', 'producao', 'local', 'totalmente', 'brasileira', 'brasil', 'paulo', 'vacina', 'utilizando', 'materia', 'prima', 'chinesa']","['parc', 'chines', 'vacin', 'prev', 'troc', 'conhec', 'tecnolog', 'produca', 'local', 'total', 'brasil', 'brasil', 'paul', 'vacin', 'utiliz', 'mat', 'prim', 'chin']","['parceria', 'chinês', 'vacina', 'preve', 'troca', 'conhecer', 'tecnologia', 'producao', 'local', 'total', 'brasileiro', 'brasil', 'paulo', 'vacina', 'utilizar', 'materia', 'primar', 'chinês']"
1349140630753210373,Tue Jan 12 23:46:06 +0000 2021,Brasil,"@danielgirardi83 @Fenovais28 @mab_sp125 @samydana @GabrielNemer_ @MBittencourtMD @mellziland @josegallucci é pq deixa minion nervoso, mas juro que se o incompetente do presidente me oferecesse vacina pode ser a de oxford mesmo eu aceitava. è que esse animal na presidência não tem nada",0,0.0,75,75.0,"['por que', 'deixa', 'minion', 'nervoso', 'juro', 'incompetente', 'presidente', 'oferecesse', 'vacina', 'pode', 'vacina', 'aceitava', 'animal', 'presidencia', 'nada']","['por qu', 'deix', 'minion', 'nerv', 'jur', 'incompet', 'presid', 'oferec', 'vacin', 'pod', 'vacin', 'aceit', 'animal', 'presidenc', 'nad']","['por que', 'deixar', 'minion', 'nervoso', 'juro', 'incompetente', 'presidente', 'oferecer', 'vacina', 'poder', 'vacina', 'aceitar', 'animal', 'presidencia', 'nada']"
1348749014964056065,Mon Jan 11 21:49:58 +0000 2021,Barcelona,@edisonrd1977 Es peligrosa la vacuna de Pfizer?,0,0.0,100,100.0,"['espirito santo', 'peligrosa', 'la', 'vacuna', 'vacina']","['espirito sant', 'peligr', 'la', 'vacun', 'vacin']","['espirito santo', 'peligrosa', 'lo', 'vacuna', 'vacina']"
1349129476425314306,Tue Jan 12 23:01:47 +0000 2021,São Paulo,"@MBittencourtMD @samydana @GabrielNemer_ @mab_sp125 @mellziland @josegallucci Então me perdi aqui:  ""No grupo placebo 3,6% pegaram COVID19 (167/4599). No grupo vacina 1,8% pegaram COVID19 (85/4653).  VOCÊ TEM 50,38% MENOS CHANCES DE PEGAR COVID19.""  Onde errei?",-1,-1.0,25,100.0,"['entao', 'perdi', 'aqui', 'grupo', 'placebo', 'pegaram', 'covid', 'grupo', 'vacina', 'pegaram', 'covid', 'menos', 'chances', 'pegar', 'covid', 'onde', 'errei']","['enta', 'perd', 'aqu', 'grup', 'placeb', 'peg', 'covid', 'grup', 'vacin', 'peg', 'covid', 'menos', 'chanc', 'peg', 'covid', 'ond', 'err']","['entao', 'perder', 'aqui', 'grupo', 'placebo', 'pegar', 'covid', 'grupo', 'vacina', 'pegar', 'covid', 'menos', 'chance', 'pegar', 'covid', 'onde', 'errar']"
1348781498602807305,Mon Jan 11 23:59:03 +0000 2021,,"Vidas importam!  Sim, vidas importam. Mas também receber uma vacina no desespero de Partidos e STF que nem são órgãos de saúde coloca em dúvida o que está por trás da CORONAVAC.",0,0.0,25,75.0,"['vidas', 'importam', 'sim', 'vidas', 'importam', 'receber', 'vacina', 'desespero', 'partidos', 'stf', 'orgaos', 'saude', 'coloca', 'duvida', 'tras', 'vacina']","['vid', 'import', 'sim', 'vid', 'import', 'receb', 'vacin', 'desesper', 'part', 'stf', 'orga', 'saud', 'coloc', 'duvid', 'tra', 'vacin']","['vida', 'importar', 'sim', 'vida', 'importar', 'receber', 'vacina', 'desespero', 'partido', 'stf', 'orgaos', 'saude', 'colocar', 'duvidar', 'tras', 'vacina']"
1348021577326194688,Sat Jan 09 21:39:23 +0000 2021,,"@emirsader A Coronavac não é de SP e do Butantã com o laboratório da Sinovac. Ele está usando guerra política, mas o que ele quer e jogar a responsabilidade para os governadores",0,0.0,50,75.0,"['vacina', 'sao paulo', 'butanta', 'laboratorio', 'vacina', 'usando', 'guerra', 'politica', 'quer', 'jogar', 'responsabilidade', 'governadores']","['vacin', 'sao paul', 'butant', 'laboratori', 'vacin', 'us', 'guerr', 'poli', 'qu', 'jog', 'respons', 'govern']","['vacina', 'sao paulo', 'butanta', 'laboratorio', 'vacina', 'usar', 'guerra', 'politica', 'querer', 'jogar', 'responsabilidade', 'governador']"
1347688930238459910,Fri Jan 08 23:37:34 +0000 2021,"Dubai, UAE",@MatheusDardenne @jbubal @PauloMFGARCIA @butantanoficial Uma ajudinha. Se é que vai dar atenção a algo que não vem da tia do zap - mas aí já foge da minha alçada.   https://t.co/ppzyyAGFZg,0,0.0,100,100.0,"['ajudinha', 'vai', 'dar', 'atencao', 'algo', 'vem', 'tia', 'zap', 'ai', 'foge', 'alcada']","['ajud', 'vai', 'dar', 'atenca', 'alg', 'vem', 'tia', 'zap', 'ai', 'fog', 'alc']","['ajuda', 'ir', 'dar', 'atencao', 'algo', 'vir', 'tio', 'zap', 'ai', 'fugir', 'alcada']"
1347691557294657537,Fri Jan 08 23:48:00 +0000 2021,"Leeds, England",@gentedemal Será porque ele vai tomar a vacina do corona mas vai dizer que não? Será?,0,0.0,75,100.0,"['porque', 'vai', 'tomar', 'vacina', 'covid', 'vai', 'dizer']","['porqu', 'vai', 'tom', 'vacin', 'covid', 'vai', 'diz']","['porque', 'ir', 'tomar', 'vacina', 'covid', 'ir', 'dizer']"
1349500208351223810,Wed Jan 13 23:34:56 +0000 2021,"Братск, Россия","@otempo Enquanto isso, até a república do Palau (que até cinco minutos atrás eu sequer sabia existir) já está vacinando contra a Covid-19. É, tá foda...",-1,-1.0,25,75.0,"['enquanto', 'republica', 'palau', 'cinco', 'minutos', 'atras', 'sequer', 'sabia', 'existir', 'vacina', 'contra', 'covid', 'foda']","['enquant', 'republ', 'palau', 'cinc', 'minut', 'atr', 'sequ', 'sab', 'exist', 'vacin', 'contr', 'covid', 'fod']","['enquanto', 'republicar', 'palau', 'cinco', 'minuto', 'atras', 'sequer', 'saber', 'existir', 'vacina', 'contra', 'covid', 'foda']"
1349503979638706177,Wed Jan 13 23:49:55 +0000 2021,,"@regrota DEUS, ME TRAGA UMA CORONAVAC https://t.co/6yX1GfmKRO",0,0.0,75,100.0,"['deus', 'traga', 'vacina']","['deu', 'trag', 'vacin']","['deus', 'tragar', 'vacina']"
