tweet_id,created_at,time_shift,user_screen_name,user_id,user_location,location_treated,state_location,region_location,tweet_text,label_A,label_B,pct_certainty_A,pct_certainty_B
1346534190335074310,2021-01-05 19:09:03+00:00,noite,butantanoficial,868127218362462208,"São Paulo, Brasil",sao paulo brasil,São Paulo,Sudeste,"@HugoMachadoFil3 @quadrelli_marco A parceria com os chineses da Sinovac prevê troca de conhecimento, de tecnologia, mas a produção local será totalmente brasileira. Será do Brasil, de São Paulo, do Butantan, utilizando a matéria-prima chinesa. (+)",-1,-1.0,75,100.0
1349140630753210373,2021-01-12 23:46:06+00:00,noite,cirillo_renata,4871722455,Brasil,brasil,undefinedstate,undefinedregion,"@danielgirardi83 @Fenovais28 @mab_sp125 @samydana @GabrielNemer_ @MBittencourtMD @mellziland @josegallucci é pq deixa minion nervoso, mas juro que se o incompetente do presidente me oferecesse vacina pode ser a de oxford mesmo eu aceitava. è que esse animal na presidência não tem nada",0,0.0,75,75.0
1348749014964056065,2021-01-11 21:49:58+00:00,noite,MarcoSilfa,26144465,Barcelona,barcelona,notbrazilstate,notbrazilregion,@edisonrd1977 Es peligrosa la vacuna de Pfizer?,0,0.0,100,100.0
1349129476425314306,2021-01-12 23:01:47+00:00,noite,AlexSchwartsman,370970579,São Paulo,sao paulo,São Paulo,Sudeste,"@MBittencourtMD @samydana @GabrielNemer_ @mab_sp125 @mellziland @josegallucci Então me perdi aqui:  ""No grupo placebo 3,6% pegaram COVID19 (167/4599). No grupo vacina 1,8% pegaram COVID19 (85/4653).  VOCÊ TEM 50,38% MENOS CHANCES DE PEGAR COVID19.""  Onde errei?",-1,-1.0,25,100.0
1348781498602807305,2021-01-11 23:59:03+00:00,noite,carlobraz,60119048,invalidlocation,invalidlocation,invalidstate,invalidregion,"Vidas importam!  Sim, vidas importam. Mas também receber uma vacina no desespero de Partidos e STF que nem são órgãos de saúde coloca em dúvida o que está por trás da CORONAVAC.",0,0.0,25,75.0
1348021577326194688,2021-01-09 21:39:23+00:00,noite,Belly259,1172615587941507072,invalidlocation,invalidlocation,invalidstate,invalidregion,"@emirsader A Coronavac não é de SP e do Butantã com o laboratório da Sinovac. Ele está usando guerra política, mas o que ele quer e jogar a responsabilidade para os governadores",0,0.0,50,75.0
1347688930238459910,2021-01-08 23:37:34+00:00,noite,Fabme,10836792,"Dubai, UAE",dubai uae,notbrazilstate,notbrazilregion,@MatheusDardenne @jbubal @PauloMFGARCIA @butantanoficial Uma ajudinha. Se é que vai dar atenção a algo que não vem da tia do zap - mas aí já foge da minha alçada.   https://t.co/ppzyyAGFZg,0,0.0,100,100.0
1347691557294657537,2021-01-08 23:48:00+00:00,noite,Eulavomeucarv,1108067265369591811,"Leeds, England",leeds england,notbrazilstate,notbrazilregion,@gentedemal Será porque ele vai tomar a vacina do corona mas vai dizer que não? Será?,0,0.0,75,100.0
1349500208351223810,2021-01-13 23:34:56+00:00,noite,invalid_user,invalid_user,"Братск, Россия",,invalidstate,invalidregion,"@otempo Enquanto isso, até a república do Palau (que até cinco minutos atrás eu sequer sabia existir) já está vacinando contra a Covid-19. É, tá foda...",-1,-1.0,25,75.0
1349503979638706177,2021-01-13 23:49:55+00:00,noite,Karol_xD,35362698,invalidlocation,invalidlocation,invalidstate,invalidregion,"@regrota DEUS, ME TRAGA UMA CORONAVAC https://t.co/6yX1GfmKRO",0,0.0,75,100.0
1349475124781735938,2021-01-13 21:55:16+00:00,noite,WagnerASantos1,1229377878103592965,RibPreto-SP,ribpreto sao paulo,invalidstate,invalidregion,"@LucasCosta1505 @chefetgomu @Desesquerdizada @vinihgoncalves Quem não quiz comprar a da Pfizer foi seu amado líder, meu caro. Temos a Oxford e a Sinovac e nada mais. O motivo de não se comprar uma melhor, é a burrice do mito! Se temos só  essas duas, que se use imediatamente. O resto é polêmica de chato. Se tivesse melhor, mas não tem!",-1,-1.0,50,50.0
1346969428618059778,2021-01-06 23:58:31+00:00,noite,Mikaemaize,1312430027183722497,"Marte ou Jupiter, n sei dizer",marte ou jupiter n sei dizer,invalidstate,invalidregion,"@IBarbosa01 @kimpkat Quanto mais demorar pra adquirir a vacina mais cara ela vai ficar, não temos tempo pra esperar o preço diminuir enquanto pessoas morrem",-1,-1.0,25,25.0
1346600865835184128,2021-01-05 23:33:59+00:00,noite,nathaIyf,438569537,pg,pg,notbrazilstate,notbrazilregion,a cura do corona,0,0.0,25,100.0
1349136724061016068,2021-01-12 23:30:35+00:00,noite,gerbelga,1214668421469749249,"Brasília, Brasil",brasilia brasil,undefinedstate,undefinedregion,"@avriltime A mutação do corona n sofre tanta mutação como o vírus da gripe, passou no jornal isso...",1,1.0,100,100.0
1346923128165965832,2021-01-06 20:54:33+00:00,noite,GiLia,24891898,nO aZuL dO mAr,no azul do mar,invalidstate,invalidregion,@CatiaAraujoN @Mmacedo_tweets A Pfizer disse isso publicamente.,0,0.0,75,100.0
1347271109130002434,2021-01-07 19:57:18+00:00,noite,invalid_user,invalid_user,Salvador,salvador,notbrazilstate,notbrazilregion,"@allisonamorim @costa_rui Ele já fez acordo pra comprar a vacina Sputnik,cara.",0,0.0,75,50.0
1346603847859449863,2021-01-05 23:45:50+00:00,noite,wonderl3ddy,3215219177,10.03 | 20.07,10 03 20 07,notbrazilstate,notbrazilregion,@mikadgg cuidado q isso pode ser corona fiquei assim quando tive,0,0.0,75,100.0
1349504074929082368,2021-01-13 23:50:18+00:00,noite,invalid_user,invalid_user,"Caxias, Brasil",caxias brasil,Rio Grande do Sul,Sul,"@brunogagliasso Não liberaram a coronavac simplesmente por que ainda não estão em posse da vacina que vem Índia, por conta de embate político com Dória. Enquanto isso, milhares de vidas se perdem. Bolsonaro é um patriota que coloca interesses pessoais acima dos interesses da nação. Que tempos!!!",0,0.0,25,25.0
1347633387549425664,2021-01-08 19:56:52+00:00,noite,eshoje,52396205,"Vitória, Brasil",vitoria brasil,São Paulo,Sudeste,"SAÚDE | A Anvisa recebeu nesta sexta-feira (8) pedido de autorização temporária de uso emergencial, em caráter experimental da vacina de Oxford. A solicitação foi enviada pela Fiocruz, que conduz os estudos da vacina desenvolvida pela empresa AstraZeneca. https://t.co/pPjn9ulaAA",-1,-1.0,100,75.0
1346602134373068800,2021-01-05 23:39:02+00:00,noite,katia_wt,360607592,Rio de Janeiro,rio de janeiro,Rio de Janeiro,Sudeste,@GloboNews  A Pfizer declarou que a distância entre a 1a e 2a dose tem de ser no máximo 42 dias. Não entendi essas 12 semanas,-1,-1.0,50,75.0
1346966783018881024,2021-01-06 23:48:01+00:00,noite,dw030461,1108717829862367233,invalidlocation,invalidlocation,invalidstate,invalidregion,"@ailtonlopespsol Quase 200 mil pessoas morrendo pela COVID-19 em nosso país e o presidente do PSOL fazendo um jogo de vaidade de projetos progressistas para a nação.  "" Pequenos 20 anos de história e o mesmo pensamento de uma dita esquerda velha e mofada""",0,0.0,50,75.0
1349489164694282240,2021-01-13 22:51:03+00:00,noite,joseeuclides30,702402689162997760,"Pernambuco, Brasil",pernambuco brasil,Pernambuco,Nordeste,"@leonardolanna Eu gostaria de lhe perguntar já que está se falando muito nos números da eficácia da vacina do Butantã, já saiu os números da AstraZeneca da Fiocruz? Vcs  já tiveram acesso a eles? O povo brasileiro também vai ter o mesmo acesso aos dados como teve na coronavac?",0,0.0,25,100.0
1348766993403555841,2021-01-11 23:01:24+00:00,noite,invalid_user,invalid_user,Bauru - SP - Brasil,bauru sao paulo brasil,São Paulo,Sudeste,@yagoaleixo Está com Covid-19,0,0.0,75,100.0
1348049393606414339,2021-01-09 23:29:55+00:00,noite,AdilsonLuizDa12,1297632009775386631,invalidlocation,invalidlocation,invalidstate,invalidregion,"@binerighetti OMS ainda não reconheceu a vacina chinesa Coronavac-Sinovac para ser distribuída em todos os países!. Já da Fiocruz Manguinhos-RJ, Oxford AstraZenica tudo ok?!?. BOLSODÓRIA não é o dono do Butantan, Butantan é do Brasil 🇧🇷! Vacinas são compradas com dinheiro público!!!",1,1.0,75,75.0
1348052178674581506,2021-01-09 23:40:59+00:00,noite,invalid_user,invalid_user,invalidlocation,invalidlocation,invalidstate,invalidregion,@great2801 Otakus não merecem vacina de corona mesmo não,1,1.0,50,75.0
1349118821098000385,2021-01-12 22:19:27+00:00,noite,BauleriCris,825698519398875138,"Rio de Janeiro, Brasil",rio de janeiro brasil,Rio de Janeiro,Sudeste,@RomuloSalgado4 @ChromusMaster @folha A África  do Sul fechou  suas fronteiras  por causa  do covid19  q esta matando  em massa.. Vi essa  reportagem  hoje na TV portuguesa.. Vc q tem q se informar.. No  países  da África  o covid19  esta matando  em massa,-1,-1.0,25,75.0
1348417142216077313,2021-01-10 23:51:13+00:00,noite,luttyshimanutri,1103317623255781386,Isolado.,isolado,Paraná,Sul,@kure_se E agora todos viramos Corona. rs,1,1.0,100,50.0
1347248418679377920,2021-01-07 18:27:08+00:00,noite,GilsonRicardoRG,1330887060606038017,"Cametá, Brasil",cameta brasil,Pará,Norte,"@VEJA O cara suspendeu a compra de seringas, seu ministério (saúde) não respondeu a Pfizer/BioNTech quando procuram o Brasil pra oferecer a vacina.  Me digam a neutralidade desse sujeito em relação a vacina no país.  Imagina quando ele for contra!!!",-1,-1.0,100,100.0
1349423246547025926,2021-01-13 18:29:07+00:00,noite,MariaSo92340189,1359815930,"Texas, USA",texas usa,notbrazilstate,notbrazilregion,@senadorhumberto Eficácia das vacinas Covid : Pfizer/BioNTech - 95% Moderna- 94.5% Sputnik V - 91.4% AstraZeneca/Oxford - 70.4% Coronavac ( Sinovac ) 50.38%.  Então o Doria quer derrubar o governo Bolsonaro empurrando a pior vacina aos brasileiros? Por @Paulogeneroso,1,1.0,50,75.0
1348056354985037826,2021-01-09 23:57:35+00:00,noite,d_heisler,774226322,invalidlocation,invalidlocation,invalidstate,invalidregion,@VEJA Se é que terão acesso a alguma vacina !!!,0,0.0,100,100.0
1348056074352553986,2021-01-09 23:56:28+00:00,noite,invalid_user,invalid_user,invalidlocation,invalidlocation,invalidstate,invalidregion,@maaaaaduds Amiga sim!!! A dessa pessoa é que ela não confiava em coisas de graça vindas do governo e que a vacina ia deixar todo mundo mais doente,1,1.0,75,100.0
1348767468311949319,2021-01-11 23:03:17+00:00,noite,brasil_io,2416561764,"GS ZZ9 Plural Z α, Earth",gs zz9 plural z earth,invalidstate,invalidregion,"MUITO OBRIGADO às pessoas voluntárias (https://t.co/sGwmP9afbb) que trabalham diariamente na coleta dos dados! &lt;3 Em especial a @jessfranca @flamenani @dneumann28 @bmenani @turicas Para outras novidades, acompanhe nosso canal no @Telegram: https://t.co/g2P24Lc2vm",0,0.0,100,100.0
