tweet_id,created_at,user_location,tweet_text,label_A,label_B,pct_certainty_A,pct_certainty_B
1346925070023725062,Wed Jan 06 21:02:16 +0000 2021,,"@HelioTelho Mas a vaCHINA de Oxford não vem e o CAPETÃO CLOROQUINA, demonstrou a total incompetência do seu desgoverno! Incompetência essa, que causa inveja até no governo Dilma!",0,1.0,100,75.0
1348376237895512065,Sun Jan 10 21:08:41 +0000 2021,"Sao Paulo, Brazil","@ananiasfernanda MINHA LINDA ""WOLF DOCTOR""!😍TENS RAZÃO SOBRE AINDA NÃO EXISTIR ""CURA TOTAL""SOBRE DOENÇAS EPIDÊMICAS CAUSADAS POR PICADA DE MOSQUITOS!MAS,DEVEIS SABER QUE UMA VACINA COM 50% DE EFICÁCIA PODE SER APLICADA! COROVAVAC,78 E OXFORD 62!😉😘😘 https://t.co/iPjOSOgsFG",0,-1.0,25,100.0
1348449656309764099,Mon Jan 11 02:00:25 +0000 2021,,"@imontfl @jdoriajr Imont, sem problema! Vc toma a vacina do doria, mas eu a de Oxford, ou Moderna ou Pfizer.",0,1.0,100,75.0
1346915355466326018,Wed Jan 06 20:23:39 +0000 2021,"Rio de Janeiro, Brasil","@nilobento @lulimazinho16 @M_lolx4 @CNNBrasil Eu li uma notícia que o Butantã irá pedir o uso emergencial e o registro definitivo da CoronaVac ao mesmo tempo. Eu acho que seria o correto o presidente comprar essa vacina, mas, foi como o cara falou ali em cima, sobre as briguinhas do presidente entre o governador de SP.",1,-1.0,25,100.0
1349505261975859200,Wed Jan 13 23:55:01 +0000 2021,"Maricá, Brasil",@DatiiD a faculdade aceita 40% do curso via EAD 🤡🤡🤡🤡🤡🤡 e só volta dps da vacina,0,-1.0,100,75.0
1348056398249271309,Sat Jan 09 23:57:45 +0000 2021,,"@folha @FolhaPainel Kkkkkk o desespero de quem estar perdendo o poder , vendo escorrer pelas mãos , é @RodrigoMaia é assim que acontece quando se é um merda e covarde como você , quanto a Pazuello e @jairbolsonaro os mesmos só querem segurança para o povo e não qualquer vacina , tipo a do @jdoriajr!",0,1.0,100,25.0
1348055929405775872,Sat Jan 09 23:55:53 +0000 2021,"São Paulo, Brasil","@ManfroiRenato Esquece o que falei. Me atualizei aqui das últimas notícias, o governo de são Paulo fez uma cagada na divulgação e nem sei mais se essa vacina tem alguma eficácia",0,1.0,100,50.0
1348032730110566402,Sat Jan 09 22:23:42 +0000 2021,"Rio de Janeiro, Brazil","@mjmacul_lima Ranking de países vacinando contra o coronavírus:  🇺🇲 5,9 milhões de pessoas 🇨🇳 4,5 mi 🇮🇱  1,7 mi 🇬🇧 1,3 mi 🇦🇪 887 mil 🇷🇺 800 mil 🇩🇪 417 mil 🇮🇹 413 mil 🇨🇦 230 mil 🇪🇸 200 mil 🇵🇱 160 mil 🇧🇷 0 pessoas 🤡",-1,1.0,100,50.0
1346817209436409856,Wed Jan 06 13:53:40 +0000 2021,,"@jufrlima As vacinas estão paradas porque o laboratório  chinês sinovac não apresenta dados para ANVISA poder aprovar.Aliás nem na China ele apresentou, China já aprovou do concorrente",-1,1.0,25,25.0
1348774422220591107,Mon Jan 11 23:30:55 +0000 2021,"Goiânia, Brasil","@WagnerD54448232 Pesquisadores estimam que a taxa de mortalidade foi de apenas 0,026%. Já para a covid-19, essa taxa ainda não é certa, mas estudos convergem para algo entre 0,5% e 1% - na melhor das hipóteses, portanto, o novo coronavírus é 20 vezes mais letal que a gripe suína.",-1,1.0,50,50.0
