tweet_id,created_at,user_location,tweet_text,label_A,label_B,pct_certainty_A,pct_certainty_B
1348780962394603522,Mon Jan 11 23:56:55 +0000 2021,honeymoon Avenue,Fora brigas de trânsito que sim amados causam muitas mortes já Imagina uma arma na mão de alguém que não tem estrutura psicológica nem pra lidar com ele mesmo ????? Ele tinha que tá pensando que no Brasil já tem mais de 200mil mortes pelo covid e liberar a vacina,-1,0.0,25,100.0
1348777478882521097,Mon Jan 11 23:43:04 +0000 2021,,"@jrmestrado @MarceloAdnet Estamos numa PANDEMIA *****, e você não decide o que é ou não um prejuízo incalculável para nós, NÓS DECIDIMOS. E o prejuízo é contrairmos a covid-19, infectar nossos familiares etc. Fora que nós não tivemos auxílio psicólogo durante essa pandemia pra que pudéssemos estudar+",0,-1.0,50,75.0
1349496693830676482,Wed Jan 13 23:20:58 +0000 2021,Coimbra,@mfmorgado é o neoimperialismo a impedir os países pobres de acederem às vacinas da Pfizer,0,1.0,25,75.0
1346602213142102017,Tue Jan 05 23:39:20 +0000 2021,,@DaniloGentili O Jornalismo está morto há muito tempo! A HIPOCRISIA da @RedeGlobo está mais viva do que nunca! #COVID19,1,0.0,50,75.0
1349506471361458176,Wed Jan 13 23:59:50 +0000 2021,Belém PA / Sao Paulo Brasil,@michelcandidos2 @eusouale_ Sério? Mais um machão de @ que não sabe perder um debate? Melhor a vacina com 50 de eficácia que 1 Bundão que não presta pda porra nenhuma.  Mas vai lá e lambe o saco do seu Bundão,-1,0.0,25,50.0
1347649221176995845,Fri Jan 08 20:59:47 +0000 2021,,"@silviogrimaldo poderia comprar e ainda negociar com outros Estados e Municípios sem qlqr aval da União, ele não precisaria disso. A vacina q parece ser + segura e eficaz é realmente a da Astrazeneca q já fez o pedido d uso emergencial (hoje) e custa entre 17,00 e 20,00. A do Butantã custa mais",-1,1.0,25,50.0
1347328612383547393,Thu Jan 07 23:45:48 +0000 2021,"Eunápolis, BA, Brasil","@costa_rui @costa_rui Aproveita que a eficácia da CoronaVac foi comprovada e compra ela, para de esperar a Sputnik. Quero logo poder ser vacinada!",0,-1.0,50,75.0
1347367330477576192,Fri Jan 08 02:19:39 +0000 2021,Canadá,"@RezendeB38 @edukalt @siga_seguirei @taoquei1 Com que vacina? Sorte do Bozo que a coronavac mostrou bons resultados, pq a produção da Pfizer, Moderna e AstraZeneca já está toda comprada por outras nações.",1,-1.0,25,50.0
1349137693154942976,Tue Jan 12 23:34:26 +0000 2021,sim,@provasextintos Covid-19 é oq? Uma língua?,1,0.0,75,75.0
1346678892900343808,Wed Jan 06 04:44:02 +0000 2021,,@oatila Você sabe alguma coisa sobre aquele remédio que a AstraZeneca estava testando que deixa as pessoas imune a doença por um tempo mesmo se já pegou o vírus?,-1,0.0,50,100.0
1347694073537298433,Fri Jan 08 23:58:00 +0000 2021,Brasil,@joicehasselmann Bolsonaro já tomou a vacina! Por isso colocou a caderneta em sigilo! https://t.co/GelQTiQzDP,0,1.0,25,75.0
1346599282196045825,Tue Jan 05 23:27:42 +0000 2021,"Goiânia, Brasil",@DaienySchuttz @itopamito Tome sua vacina e vá ser feliz.  Continnuo com meu vermífugo.  #pás  https://t.co/1yrApXFbmb,0,1.0,100,75.0
1349487276552822790,Wed Jan 13 22:43:33 +0000 2021,,@CarlaZambelli38 @jdoriajr DitaDória é um bandido! Quando os Deputados Federais eleitos por São Paulo vão pedir que o Ministério Público investigue o contrato com a SINOVAC? Cadê a Transparência? Ele mente toda semana sobre a segurança e a eficácia da vacina! #DoriaMentiroso,0,1.0,25,100.0
1348401983586246656,Sun Jan 10 22:50:59 +0000 2021,Brasil,"@sisuper1000 @luiz3011 E os que ainda votam nele, já fizeram um exercício de consciência sobre o número de mortes pela COVID-19 no Brasil? Quantas vidas poderiam ter sido salvas se o presidente desse o exemplo seguindo as medidas sanitárias?",-1,0.0,25,100.0
1348763309881786369,Mon Jan 11 22:46:46 +0000 2021,"Lahat, Indonesia",@HukumDan Sinovac ---- NO Pfizer ------- YES,0,1.0,100,50.0
1347584679290011649,Fri Jan 08 16:43:19 +0000 2021,São Paulo,@Michel88631131 @oatila Sonia foi uma dos 538 trabalhadores do IPO do Porto que receberam a vacina Pfizer-BioNTech — a mesma vacina administrada na médica mexicana.,-1,0.0,75,100.0
1348756541625794561,Mon Jan 11 22:19:52 +0000 2021,"São José dos Campos, Brasil","@RodrigoMaia Acho não! Por outro lado, ""A General Motors informou que vai retomar em 2021 o investimento de R$ 10 bilhões nas fábricas em São Paulo, que estava previsto antes da pandemia de coronavírus. O aporte havia sido anunciado em 2019..."". https://t.co/Xsk9z7FKEs",-1,0.0,75,75.0
1346944910398607361,Wed Jan 06 22:21:06 +0000 2021,Lá,@HitBoy @instagram @LucianoHuck Temos que provenciar uma foto do Huck com o coronavirus,1,0.0,25,50.0
1347688619297927174,Fri Jan 08 23:36:20 +0000 2021,,@Baleia_Rossi @RodrigoMaia Uma medida altamente efetiva no enfrentamento ao coronavírus seria o IMPEACHMENT do miliciano que ta sentado na cadeira do presidente,-1,0.0,25,100.0
1348033927592751110,Sat Jan 09 22:28:28 +0000 2021,Brasil,@Nando202014 @anvisa_oficial Anvisa já barrou andamento da CoronaVac e a de Oxford segue a todo vapor. Eles nem disfarçam!! kkkkk,-1,1.0,25,100.0
1346845563095044098,Wed Jan 06 15:46:20 +0000 2021,Portugal,"As vacinas da Moderna e da BioNTech-Pfizer fazem parte da nossa vasta carteira de vacinas, constituída por 6 vacinas.",0,-1.0,25,100.0
1347632789982687236,Fri Jan 08 19:54:29 +0000 2021,,@UlissesMaia @FNPrefeitos Por favor pede a vacina da moderna. A mais eficaz essa coronavac de 78% e a mesma coisa que colocar um doente em uma sala cheia de pessoas sadias.,-1,1.0,25,75.0
1347687822988341248,Fri Jan 08 23:33:10 +0000 2021,Brasil,"@nilson7bjr O Nilson, beleza. Covid-19 até onde eu sei veio foi da China mesmo, Hurran. 🤔 Ou estamos enganados?  Você já viu algum vídeo atual dessa cidade, como está lá? Por que nem a China está usando a Coronavac? Ela já foi aprovada pela Anvisa?",1,0.0,25,75.0
1348055711620722691,Sat Jan 09 23:55:01 +0000 2021,,@Sampaiotrp @UOL Claro que a ANVISA vai atrasar o processo do Butantan. É a corrida da primeira picada. Estão atrasando o processo até que chegam as vacinas da Oxford.  Tanto que já estão falando que a vacina da Astra pode ser liberada antes. Pq será? 🤔,1,0.0,25,75.0
1349058872183582722,Tue Jan 12 18:21:14 +0000 2021,,"@karileal Pfizer e Bio N Tech = 95% de eficácia Moderna = 94% de eficácia Sputnik = 91% de eficácia Coronavac = 50,38% de eficácia  E ainda por cima, é a vacina mais cara do mundo.",-1,1.0,75,75.0
1347479231043956737,Fri Jan 08 09:44:18 +0000 2021,Alemanha,"@jdoriajr Hj a Chefe da UE falou quais as vacinas que Será distribuida na Europa Biontech-Pfizer, Moderna, ASTRAZENECA e Johnson Johnson. E será distribuida ni Verão europeu em Massa. E o Sr. Querendo adiantar uma vacina nem mencionada na Europa estranho. https://t.co/Xq0pi1YfOs",-1,1.0,25,25.0
1348774590932262912,Mon Jan 11 23:31:36 +0000 2021,Estados Unidos,@republica_ctba Com esse % de eficácia? É de rir ou chorar? Só falta o #STFVergonhaNacional acatar! Mas daí eles deveriam ser os primeiros a se vacinarem com a Coronavac,0,1.0,75,75.0
1347324613416677380,Thu Jan 07 23:29:54 +0000 2021,Aracaju,"@padilhando ajuda a tag, por favor #adiaenem #adiaenemja  Ministério da Saúde registra recorde de casos e segundo maior número de óbitos em 24h https://t.co/smxR4gqY7j",-1,0.0,100,100.0
1348354468585336833,Sun Jan 10 19:42:11 +0000 2021,"São Paulo, Brasil","@super_nutry @bolsomito_2 @EdsonVolpini @governosp @butantanoficial Reclama dos 78%, mas faz coito interrompido, que tem 78% de eficacia 🤷🏼‍♀️ #CoronaVac #SinoVac",-1,0.0,100,75.0
1346936418174709761,Wed Jan 06 21:47:21 +0000 2021,"Puteaux, France","@MarceloFreixo Oh babacão, ainda não tem vacina no Brasil e há tempo para quebrar o preço. A Pfizer não tem vacina para todos os países e só o RU é os USA já compraram quase todo o estoque. Nem na França chega a vacina, então para de falar mer da",-1,1.0,25,75.0
1347205881386180608,Thu Jan 07 15:38:06 +0000 2021,,"@MRKanti_isentos @vitoriol @Estadao Nenhum, porém, você sabia que a China participa da PFIZER, Biontech, Astrazeneca e outros laboratórios que produziram outras vacinas???????  Tu tá incomodado com a poha da vitoria da população que finalmente vê uma luz no fim do túnel.",1,0.0,25,50.0
1347612978821083141,Fri Jan 08 18:35:46 +0000 2021,Porto Alegre,"@kellymatos Muito bom! @kellymatos seria interessante saber agora quantas doses chegariam ao RS e quais os critérios de distribuição no estado. Pelo que vi, inicialmente são 6mi do Butantan/Coronavac e 2mi da Fiocruz/Astrazeneca pro Brasil inteiro.",-1,1.0,50,75.0
