tweet_id;created_at;user_location;tweet_text
1347682699021058048;Fri Jan 08 23:12:48 +0000 2021;São Paulo - SP;@DanielFdes1 @silviogrimaldo @flaviogordon O Gov Federal não tinha a obrigação de comprar nenhuma sem q houvesse um comprovação científica. Fez “pré-contratos” com outras q já tinham estudos mais evoluídos. O golpe do Gov de SP foi comprar essa em “parceria” com a Sinovac, e depois pressionar o Gov Federal pra comprar...
1348368943568793600;Sun Jan 10 20:39:42 +0000 2021;;@vinivp22 @nelsonpaffi Estão usando dois pesos e duas medidas. Como disse as outras empresas demoram pelo menos 1 mês para divulgar detalhadamente os dados da faze 3 de suas vacinas. Estão exigindo algo do Butantã que não exigiram da Pfizer ou Moderna.
1348767525375455234;Mon Jan 11 23:03:31 +0000 2021;Brasil Vassouras;@CarlaZambelli38 @EvertonSodario Tem o site que mostra as estatísticas certa se for ouvir esses que são da mídia parece que morreu meio mundo sendo que além da covid19 tem outras doenças nesse site mostra nascidos,morridos e de qual foi a causa internet é pra gente se informar né 🙏🕯️📿
1346959632045113345;Wed Jan 06 23:19:36 +0000 2021;São Luís-MA;@Anette49447457 Sem sombra de dúvidas, o melhor tratamento que existe no trato do covid19
1347274285996453890;Thu Jan 07 20:09:55 +0000 2021;Brasil;@sputnik_brasil A mais cara e menos eficiente! Por que?
1347327739209134081;Thu Jan 07 23:42:19 +0000 2021;;@JCalebe6 @CNNBrasil Pena que vc ta no 3 mundo e nao vai ter vacina pfizer
1346882162394587136;Wed Jan 06 18:11:46 +0000 2021;;@adamcrlh astrazeneca (oxford) é mais eficiente, vambora amô
1348417961279823872;Sun Jan 10 23:54:29 +0000 2021;;@o_antagonista Não é ele quem tem que dizer, secretario fale menos, e haja mais. Simples assim. Essa bosta de vacina presta ou não. Eu acredito na Anvisa. https://t.co/7kP5sZ0BGT
1348384607335538692;Sun Jan 10 21:41:56 +0000 2021;Sao Paulo, Brazil;@antibovino @RickOnTheRocks_ @helenrose551 @jdoriajr @anvisa_oficial @butantanoficial Eu falei alguma coisa de Bolsonaro?  Então,  Com relação ao seu presidente, ele tem um contrato com a AstraZeneca para a produção de vacina em parceria com a Fiocruz. Está vacina inclusive está com toda a documentação na Anvisa esperando aprovação.
1346594079879139329;Tue Jan 05 23:07:01 +0000 2021;Brooklyn, NY;@g1 QUAL É A NECESSIDADE de enfatizar os remédios que o cara defendia apenas para fazer um contraste com o motivo da morte dele ?????   *NÃO sou apoiador do Bolsonaro e sei que clooriquina/ivermectina não faz efeito para combater o Coronavirus não precisa me ensinar
1346594454371753984;Tue Jan 05 23:08:31 +0000 2021;Brasília, Brasil;@carlostgarzi @dehluuis @Douglas12626875 Os primeiros coronavírus humanos foram detectados em 1960 , são grupos de vírus, portanto faz tempo que têm pesquisas , não especificamente o covid19, mas da mesma família. Senhor pesquise um pouco
1346828301579542531;Wed Jan 06 14:37:44 +0000 2021;Mzanzi;@zilevandamme Pfizer @ 95% Moderna @ 94% Astrazeneca @ 90%
1348775765832314883;Mon Jan 11 23:36:16 +0000 2021;Americonha, Brazil;@maamalfi Caraio ta d corona?
1348406434510336002;Sun Jan 10 23:08:40 +0000 2021;Alcântara, Lisboa, Portugal;@JoaoMiguelJorge Quando se soube que estava internado devido a complicações com o Covid 19, o Grupo Atlético 1942 (GOA do Atlético) deixou uma mensagem de melhoras. https://t.co/AzyrWBM9M2
1347644502123679751;Fri Jan 08 20:41:01 +0000 2021;São Paulo;@bbcbrasil @GKellyGBernardo @MiguelNicolelis Fazer um mês de lockdown acaba a covid19,  lei marcial imposta e toque de recolher 24 horas e só médicos, enfermeiros e militares trabalhando.  No final o covid19 acaba mas também TODO O POVO MORRE DE FOME, O PIB CAI 90% no mês e hiperinflação daqui a 3 meses.
1348759125400944647;Mon Jan 11 22:30:08 +0000 2021;Belo Horizonte - MG;@7U15exe Eficácia da CoronaVac já era contestada por pesquisador da Unicamp.Uma projeção feita c/ os dados anunciados no evento indicava q esse resultado, na vdd, poderia ser de apenas 63,75%. Na China, a vacinação está sendo feita com vacinas da Sinopharm e não com a coronavac da Sinovac
1346540563915485184;Tue Jan 05 19:34:22 +0000 2021;;@YagoYagora @oatila Você confundiu oferta com demanda.  Um laboratório vamos supor, a rede Sabin vai chegar para a AstraZeneca e comprar 100.000 doses.  O governo brasileiro 10 milhões.   Quem você acha que consegue negociar melhores condições?
1346602901251227648;Tue Jan 05 23:42:04 +0000 2021;Vargem Grande Paulista, Brasil;@AlessandroLoio2 Hoje a irmã da minha cunhada foi diagnosticada com Covid-19 e o médico que a atendeu disse que o hospital não segue este protocolo. Voltou pra casa com zero de medicação. A orientação foi ficar isolada e voltar se piorar. Procurou outro médico e este receitou o tto completo.
1346605703151161344;Tue Jan 05 23:53:13 +0000 2021;;@MarinaSilva @nilmoretto Ele está fazendo propaganda do tratamento precoce, não está ofuscando a vacina, ele só não está apoiando. Ele tem que ser neutro sobre isso. Pelo menos oq eu vejo, essa e minha visão sobre.
1348232023413051392;Sun Jan 10 11:35:37 +0000 2021;Brasil;@JosLuizmatheus1 @o_antagonista Não. O governo tá implorando pra Índia mandar 2mi de doses da Vacina de Oxford/Astrazeneca para fazer a foto antes que o Dória.
1347688780598226945;Fri Jan 08 23:36:58 +0000 2021;Brazil;@RodrigoMaia tu também é culpado por mais 200 mil mortes por Covid-19!
1346607195870400514;Tue Jan 05 23:59:08 +0000 2021;Brasil;Mais um 😢, 36 anos bixo. Conhecido por defender o uso da cloroquina e da ivermectina, pastor Thiago Andrade morre de Covid-19 https://t.co/Dumx9MTw3O
1348407657380655104;Sun Jan 10 23:13:32 +0000 2021;Salvador, Brasil;@rosa_riscala @butantanoficial @jdoriajr Precisamos torcer por todas as vacinas, mas claramente essa questão da coronavac tá estranha. Eu estou torcendo muito pra q a vacina da Oxford se torne realidade o quanto antes.
1347685670978990080;Fri Jan 08 23:24:37 +0000 2021;;@folha Quer a foto! Cretino! Vai retardar a vacina Coronavac!
1348021048269131776;Sat Jan 09 21:37:17 +0000 2021;;@RobertoElleryJr Tambem nao esquecerei os milhões de profissionais de saude expostos sem proteçao por que nao lhes foi oferecido a vacina da Pfizer!
1347694342941650944;Fri Jan 08 23:59:04 +0000 2021;;@CRF_Cavalinho Vem ser feliz novamente JJ! Toma a vacina da Pfizer e volta logo!
1346603847859449863;Tue Jan 05 23:45:50 +0000 2021;10.03 | 20.07;@mikadgg cuidado q isso pode ser corona fiquei assim quando tive
1346606233990561792;Tue Jan 05 23:55:19 +0000 2021;BRASIL;@Metropoles @jairbolsonaro @minsaude Paguem minha passagem que eu vou. Fiquem com seu mito. Lá ja tem vacina confiável.  Aqui vira jacaré gado da terra plana.
1347678468243419139;Fri Jan 08 22:56:00 +0000 2021;Porto Alegre, Brasil;@silvanzanini1 @FernandoHoliday O Butantan é um órgão público então ele se responsabiliza pela vacina  Foi a pfizer que não tinha essa responsabilidade porém todos os governos competentes para dar segurança e confiança a população se prontificaram a se responsabilizar
1347651448302166016;Fri Jan 08 21:08:38 +0000 2021;Roubolândia;A charge de hoje foi inspirada por uma ideia do seguidor @wjuniorif ! Obrigado! 😃👍👍  #astirasdocaos #brasil #vacina #covid19 #coronavírus #campanhadevacinação #defendaosus #virarjacaré #bolaonaro #biroliro #bozonero #bolsomimions #antivacina
1346595202035806208;Tue Jan 05 23:11:29 +0000 2021;;@N_P_Junior O Min.da Saúde estima que terá 61,4 milhões de vacinas entre AstraZeneca, Coronavac e Pfizer-BioNTech. Mas, lembre-se: são 2 doses. Nas últimas semanas, o Reino Unido imunizou 944.539 pessoas, Alemanha (265.610), a Itália (128.880) e a  Espanha (82.834). Vacinar é complexo...
1348028443649335296;Sat Jan 09 22:06:40 +0000 2021;São Paulo, Brasil;@Marylarys A galera da pfizer, não.
1347940656497483779;Sat Jan 09 16:17:50 +0000 2021;En Un Pais Sin Memoria.;@EuricSanti Pfizer para ellos AstraZeneca para ustedes.
