tweet_id,created_at,time_shift,user_screen_name,user_id,user_location,location_treated,state_location,region_location,tweet_text,tweet_text_spellchecked,tweet_text_spellchecked_lower,tweet_text_spellchecked_stemmed,tweet_text_spellchecked_lemmatized,label_A,label_B,pct_certainty_A,pct_certainty_B
1346534190335074310,2021-01-05 19:09:03+00:00,noite,butantanoficial,868127218362462208,"São Paulo, Brasil",sao paulo brasil,invalidstate,invalidregion,"@HugoMachadoFil3 @quadrelli_marco A parceria com os chineses da Sinovac prevê troca de conhecimento, de tecnologia, mas a produção local será totalmente brasileira. Será do Brasil, de São Paulo, do Butantan, utilizando a matéria-prima chinesa. (+)","@HugoMachadoFil3 @quadrelli_marco A parceria com os chineses da Sinovac prevê troca de conhecimento, de tecnologia, mas a produção local será totalmente brasileira. Será do Brasil, de São Paulo, do Butantan, utilizando a matéria-prima chinesa. (+)","@hugomachadofil3 @quadrelli_marco a parceria com os chineses da sinovac prevê troca de conhecimento, de tecnologia, mas a produção local será totalmente brasileira. será do brasil, de são paulo, do butantan, utilizando a matéria-prima chinesa. (+)",parc chines vacin prev troc conhec tecnolog produca local total brasil brasil paul vacin utiliz mat prim chin,parceria chinês vacina preve troca conhecer tecnologia producao local total brasileiro brasil paulo vacina utilizar materia primar chinês,-1,-1.0,75,100.0
1349140630753210373,2021-01-12 23:46:06+00:00,noite,cirillo_renata,4871722455,Brasil,brasil,statenotdefined,regionnotdefined,"@danielgirardi83 @Fenovais28 @mab_sp125 @samydana @GabrielNemer_ @MBittencourtMD @mellziland @josegallucci é pq deixa minion nervoso, mas juro que se o incompetente do presidente me oferecesse vacina pode ser a de oxford mesmo eu aceitava. è que esse animal na presidência não tem nada","@danielgirardi83 @Fenovais28 @mab_sp125 @samydana @GabrielNemer_ @MBittencourtMD @mellziland @josegallucci é pq deixa minion nervoso, mas juro que se o incompetente do presidente me oferecesse vacina pode ser a de oxford mesmo eu aceitava. è que esse animal na presidência não tem nada","@danielgirardi83 @fenovais28 @mab_sp125 @samydana @gabrielnemer_ @mbittencourtmd @mellziland @josegallucci é pq deixa minion nervoso, mas juro que se o incompetente do presidente me oferecesse vacina pode ser a de oxford mesmo eu aceitava. è que esse animal na presidência não tem nada",deix minion nerv jur incompet presid oferec vacin pod vacin aceit animal presidenc nad,deixar minion nervoso juro incompetente presidente oferecer vacina poder vacina aceitar animal presidencia nada,0,0.0,75,75.0
1348749014964056065,2021-01-11 21:49:58+00:00,noite,MarcoSilfa,26144465,Barcelona,barcelona,notbrazilstate,notbrazilregion,@edisonrd1977 Es peligrosa la vacuna de Pfizer?,@edisonrd1977 Es peligrosa la vacuna de Pfizer?,@edisonrd1977 es peligrosa la vacuna de pfizer?,espirit sant peligr la vacun vacin,espirito santo peligrosa lo vacuna vacina,0,0.0,100,100.0
1349129476425314306,2021-01-12 23:01:47+00:00,noite,AlexSchwartsman,370970579,São Paulo,sao paulo,São Paulo,Sudeste,"@MBittencourtMD @samydana @GabrielNemer_ @mab_sp125 @mellziland @josegallucci Então me perdi aqui:  ""No grupo placebo 3,6% pegaram COVID19 (167/4599). No grupo vacina 1,8% pegaram COVID19 (85/4653).  VOCÊ TEM 50,38% MENOS CHANCES DE PEGAR COVID19.""  Onde errei?","@MBittencourtMD @samydana @GabrielNemer_ @mab_sp125 @mellziland @josegallucci Então me perdi aqui:  ""No grupo placebo 3,6% pegaram COVID19 (167/4599). No grupo vacina 1,8% pegaram COVID19 (85/4653).  VOCÊ TEM 50,38% MENOS CHANCES DE PEGAR COVID19.""  Onde errei?","@mbittencourtmd @samydana @gabrielnemer_ @mab_sp125 @mellziland @josegallucci então me perdi aqui:  ""no grupo placebo 3,6% pegaram covid19 (167/4599). no grupo vacina 1,8% pegaram covid19 (85/4653).  você tem 50,38% menos chances de pegar covid19.""  onde errei?",enta perd aqu grup placeb peg covid grup vacin peg covid menos chanc peg covid ond err,entao perder aqui grupo placebo pegar covid grupo vacina pegar covid menos chance pegar covid onde errar,-1,-1.0,25,100.0
1348781498602807305,2021-01-11 23:59:03+00:00,noite,carlobraz,60119048,invalidlocation,invalidlocation,invalidstate,invalidregion,"Vidas importam!  Sim, vidas importam. Mas também receber uma vacina no desespero de Partidos e STF que nem são órgãos de saúde coloca em dúvida o que está por trás da CORONAVAC.","Vidas importam!  Sim, vidas importam. Mas também receber uma vacina no desespero de Partidos e STF que nem são órgãos de saúde coloca em dúvida o que está por trás da CORONAVAC.","vidas importam!  sim, vidas importam. mas também receber uma vacina no desespero de partidos e stf que nem são órgãos de saúde coloca em dúvida o que está por trás da coronavac.",vid import sim vid import receb vacin desesper part stf orga saud coloc duvid tra vacin,vida importar sim vida importar receber vacina desespero partido stf orgaos saude colocar duvidar tras vacina,0,0.0,25,75.0
1348021577326194688,2021-01-09 21:39:23+00:00,noite,Belly259,1172615587941507072,invalidlocation,invalidlocation,invalidstate,invalidregion,"@emirsader A Coronavac não é de SP e do Butantã com o laboratório da Sinovac. Ele está usando guerra política, mas o que ele quer e jogar a responsabilidade para os governadores","@emirsader A Coronavac não é de SP e do Butantã com o laboratório da Sinovac. Ele está usando guerra política, mas o que ele quer e jogar a responsabilidade para os governadores","@emirsader a coronavac não é de sp e do butantã com o laboratório da sinovac. ele está usando guerra política, mas o que ele quer e jogar a responsabilidade para os governadores",vacin paul butant laboratori vacin us guerr poli qu jog respons govern,vacina paulo butanta laboratorio vacina usar guerra politica querer jogar responsabilidade governador,0,0.0,50,75.0
1347688930238459910,2021-01-08 23:37:34+00:00,noite,Fabme,10836792,"Dubai, UAE",dubai uae,notbrazilstate,notbrazilregion,@MatheusDardenne @jbubal @PauloMFGARCIA @butantanoficial Uma ajudinha. Se é que vai dar atenção a algo que não vem da tia do zap - mas aí já foge da minha alçada.   https://t.co/ppzyyAGFZg,@MatheusDardenne @jbubal @PauloMFGARCIA @butantanoficial Uma ajudinha. Se é que vai dar atenção a algo que não vem da tia do zap - mas aí já foge da minha alçada.   https://t.co/ppzyyAGFZg,@matheusdardenne @jbubal @paulomfgarcia @butantanoficial uma ajudinha. se é que vai dar atenção a algo que não vem da tia do zap - mas aí já foge da minha alçada.   https://t.co/ppzyyagfzg,ajud vai dar atenca alg vem tia zap ai fog alc,ajuda ir dar atencao algo vir tio zap ai fugir alcada,0,0.0,100,100.0
1347691557294657537,2021-01-08 23:48:00+00:00,noite,Eulavomeucarv,1108067265369591811,"Leeds, England",leeds england,notbrazilstate,notbrazilregion,@gentedemal Será porque ele vai tomar a vacina do corona mas vai dizer que não? Será?,@gentedemal Será porque ele vai tomar a vacina do corona mas vai dizer que não? Será?,@gentedemal será porque ele vai tomar a vacina do corona mas vai dizer que não? será?,porqu vai tom vacin covid vai diz,porque ir tomar vacina covid ir dizer,0,0.0,75,100.0
1349500208351223810,2021-01-13 23:34:56+00:00,noite,invalid_user,invalid_user,"Братск, Россия",,invalidstate,invalidregion,"@otempo Enquanto isso, até a república do Palau (que até cinco minutos atrás eu sequer sabia existir) já está vacinando contra a Covid-19. É, tá foda...","@otempo Enquanto isso, até a república do Palau (que até cinco minutos atrás eu sequer sabia existir) já está vacinando contra a Covid-19. É, tá foda...","@otempo enquanto isso, até a república do palau (que até cinco minutos atrás eu sequer sabia existir) já está vacinando contra a covid-19. é, tá foda...",enquant republ palau cinc minut atr sequ sab exist vacin contr covid fod,enquanto republicar palau cinco minuto atras sequer saber existir vacinar contra covid foda,-1,-1.0,25,75.0
1349503979638706177,2021-01-13 23:49:55+00:00,noite,Karol_xD,35362698,invalidlocation,invalidlocation,invalidstate,invalidregion,"@regrota DEUS, ME TRAGA UMA CORONAVAC https://t.co/6yX1GfmKRO","@regrota DEUS, ME TRAGA UMA CORONAVAC https://t.co/6yX1GfmKRO","@regrota deus, me traga uma coronavac https://t.co/6yx1gfmkro",deu trag vacin,deus tragar vacina,0,0.0,75,100.0
